Team,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15
Sam,167,201,93,167,208,162,168.5,167.5,0,0,0,0,0,0,0
Ben,182.5,193.5,145,167,216,198.5,187,178.5,0,0,0,0,0,0,0
Rhu,168.5,155,143,181.5,214,175,166.5,151,0,0,0,0,0,0,0
Cheese,130.5,192.5,135,154,124.5,174,137,169,0,0,0,0,0,0,0
Steggles,137,194,112,143.5,114.5,178,166.5,179,0,0,0,0,0,0,0
Jamie,161.5,150,109.5,146.5,146,124,121.5,97,0,0,0,0,0,0,0
Dan,189,186.5,76.5,164.5,173.5,217,147,116.5,0,0,0,0,0,0,0
Alex,174,200,122,176,201.5,172,170,151.5,0,0,0,0,0,0,0
Jack,143,166.5,138,177,155,151,169.5,212.5,0,0,0,0,0,0,0
Gary,149.5,164.5,90,169.5,183.5,170,161,150,0,0,0,0,0,0,0
Oli,165,194.5,104.5,149.5,145,168.5,156,220,0,0,0,0,0,0,0
Luke,200.5,119.5,115.5,134.5,111.5,170.5,179,173.5,0,0,0,0,0,0,0
